question_id,question_text,answer_1,answer_2,answer_3,answer_4,time_limit_sec,time_limit_valid,correct_answer_index,correct_index_valid,thematic_consistency_check,validation_status,notes
2,What is the term for the net loss of trees in a forested area?,Deforestation,Urbanization,Reforestation,Desertification,20,PASS,1,PASS,PASS,VALID,
3,Which of these is an ecosystem service provided by forests?,Carbon sequestration,Plastic production,Soil erosion,Increased runoff,20,PASS,1,PASS,PASS,VALID,
4,"What is the upper layer of a forest, formed by the crowns of the tallest trees?",Canopy,Understory,Forest floor,Emergent layer,20,PASS,1,PASS,PASS,VALID,
5,Harvesting as much as possible for economic benefit without exceeding sustainability is known as:,Maximum sustainable yield,Multiple-use yield,Overharvesting,Clear-cutting,20,PASS,1,PASS,PASS,VALID,
6,Which threat can lead to grasslands being converted into deserts?,Overgrazing,Sustainable grazing,Reforestation,Ecotourism,20,PASS,1,PASS,PASS,VALID,
7,How do wild grazers differ from confined domestic grazers in their impact?,"They move quickly, allowing land to recover",They stay in one area until it's barren,They do not fertilize the soil,They cause more soil compaction,20,PASS,1,PASS,PASS,VALID,
8,Which management plan allows room for altering strategies as new information becomes available?,Adaptive management,Command-and-control,Fixed management,Static regulation,20,PASS,1,PASS,PASS,VALID,
9,What are trees planted at the edge of a farm to reduce wind erosion called?,Shelterbelts,Greenbelts,Cover crops,Emergent layers,20,PASS,1,PASS,FAIL,FLAGGED,"Answer 4 ('Emergent layers') is thematically inconsistent with the question -- it's a forest-canopy term, not a farm windbreak term, and is an exact match for Q4's correct answer ('Emergent layer'). Strong indicator of copy-paste residue from the wrong question during sheet creation. Does not affect grading (Answer 1 is still marked correct), but should be corrected before publishing -- recommend replacing with a genuine distractor (e.g. 'Hedgerows' or 'Buffer strips')."
10,Which process involves rotating animals from pasture to pasture to maximize grassland health?,Rotational grazing,Monoculture,Undergrazing,Overgrazing,20,PASS,1,PASS,PASS,VALID,
11,"What term describes the process where soil is worn away by wind and water, often worsened by overgrazing?",Soil erosion,Soil formation,Carbon capture,Carbon sequestration,20,PASS,1,PASS,PASS,VALID,
